Linguistics,9000,1858,460
Management & System Science,10000,2180,692
Mathematics,10000,2168,702
Maths of Information & Complex Systems,9000,2146,858
Meetings, Events & Conference Services,1000,1810,508
Molecular Biology & Biochemistry,8000,2028,896
National Research Council - IRAP,3000,2150,534
Network Services,,2893,296
Off Campus Housing,200,1121,565
Off. of Francophones & Francophile Affairs,,2578,620
Ombuds Office,2000,1718,650
Ctr. For Online & Distance Education,1000,1410,570
Pacific Inst. for the Maths Sciences,9000,2148,864
Peak Newspaper,2000,1742,640
Peer Programs,0,1740,652
Philosophy,4000,1352,526
Physics,8000,8054,752
Political Science,6000,2038,494
President's Office,3000,2216,536
Psychology,5000,2024,366
Public Affairs & Media Relations,2000,2162,540
Purchasing,3000,2163,541
Registrar's Office (Student Services),3000,1716,620
Resource & Environmental Mgmt.,8000,2339,868
Resource Research Group, FAS,8000,2139,860
Ctr. For Restorative Justice,10000,2201,394
Science Alive!,9000,2165,692
Dean & Faculty of Science,9000,2111,858
SFU PIRG,3000,1577,592
SFU Community Trust,,2595,616
SFU International,1000,1705,670
SFU Intl. Student Lounge,2000,1863,598
SFU Theatre,300,1775,640
Simon Fraser University News,2000,2149,538
Social Psychology Research Lab,3000,1949,488
Sociology & Anthropology,5000,1970,496
Spanish & Latin America Studies,5000,1973,498
Statistical Consulting Service,10000,2147,698
Statistics & Actuarial Science,10000,2171,702
Student Central,3000,1719,650
Student Development,2000,1719,651
Student Learning Commons,3000,1727,534
Student Services,3000,1622,642
Student Society,2000,1632,662
Ctr. For Sustainable Community,2000,1302,538
Teaching & Learning Centre,7000,2034,404
Tourism Policy & Research,8000,2254,864
University Advancement,2000,2166,538
University Industry Liaison Office,200,2212,534
VP - Academic,3000,2130,546
VP - Advancement,2000,2131,546
VP - Financial Services & Admin,3000,2132,546
VP - Research,3000,2133,546
VP - University Relations,3000,2134,546
Wildlife Ecology,8000,1958,754
Women's Centre,3000,1590,632
Women's Studies,5000,2052,604
Writing Intensive Learning Office,7000,2038,418
Bookstore & Tech Shop,2000,1714,642
Canada Post,,2714,624
Childcare Centre,,1006,502
Document Solutions,0,1694,624
Health & Counselling Services,0,1692,640
Lost & Found,0,1526,592
Parking Services,3000,1452,596
Physiotherapy Clinic,0,1453,597
Quadbooks/ CopyRite,2000,1714,678
Residence & Housing,1000,1030,626
Travel Cuts,,2586,620
Bubble World,2000,1748,650
Cornerstone Food Services,,2524,618
Diamond Alumni Ctr.,100,1862,268
Higher Grounds Coffee Shop,3000,1728,686
Highland Pub,4000,1723,685
James Douglas Cafeteria,2000,1886,670
Koya Japan,2000,1742,654
Mackenzie Caf‚,3000,2060,530
Mr. Sub,2000,1736,684
Renaissance Coffee AQ,3000,1980,498
Renaissance Coffee ASB,9000,2268,728
Renaissance Coffee CB,,2434,580
Residence Dining Hall,2000,1030,626
Simon_s C Store,2000,1912,550
The Hub Food Services,,2746,616
The Ladle,2000,1730,660
Tim Hortons,2000,1394,538
Triple O's by White Spot,2000,1912,584
